date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,artist_name
2024-05-16,64018426,280,242,0.764%,487456.7,1801.0,0.369%,7.0,Maluma
2024-05-15,64019573,280,242,0.981%,626211.6,2095.1,0.335%,6.0,Maluma
2024-05-14,64020381,280,242,1.013%,646336.2,2138.8,0.331%,5.0,Maluma
2024-05-13,64023445,280,242,0.848%,540883.5,1953.5,0.361%,5.0,Maluma
2024-05-12,64028008,280,238,0.888%,566280.9,2054.0,0.363%,3.0,Maluma
2024-05-11,64030782,280,238,0.910%,580850.6,2034.3,0.350%,3.0,Maluma
2024-05-10,64033744,280,238,0.907%,578975.2,2022.8,0.349%,2.0,Maluma
2024-05-09,64036894,280,237,0.903%,575940.2,2013.8,0.350%,3.0,Maluma
2024-05-08,64037533,280,237,0.925%,589944.8,2298.5,0.390%,4.0,Maluma
2024-05-07,64035284,280,237,0.918%,585806.2,2286.8,0.390%,6.0,Maluma
2024-05-06,64032315,279,235,0.941%,599929.5,2632.7,0.439%,5.0,Maluma
2024-05-05,64030551,279,235,0.933%,594661.3,2620.5,0.441%,6.0,Maluma
2024-05-04,64030513,279,235,1.079%,688473.9,2732.7,0.397%,6.0,Maluma
2024-05-03,64029311,279,235,1.106%,705178.0,2786.3,0.395%,6.0,Maluma
2024-05-02,64028297,280,230,0.968%,617015.3,2669.4,0.433%,6.0,Maluma
2024-05-01,64029742,280,230,1.001%,638451.1,2736.8,0.429%,5.0,Maluma
2024-04-30,64031952,280,230,0.969%,617983.9,2700.8,0.437%,3.0,Maluma
2024-04-29,64035155,280,230,0.957%,609848.7,2683.3,0.440%,4.0,Maluma
2024-04-28,64038243,279,228,1.043%,664910.3,2799.8,0.421%,3.0,Maluma
2024-04-27,64038432,279,228,1.013%,645678.5,2757.0,0.427%,3.0,Maluma
2024-04-26,64038475,279,228,1.007%,641885.3,2740.8,0.427%,3.0,Maluma
2024-04-25,64039701,278,228,0.999%,637271.0,2730.6,0.428%,4.0,Maluma
2024-04-24,64035768,278,228,0.989%,630503.9,2710.9,0.430%,4.0,Maluma
2024-04-23,64037560,278,227,1.009%,643395.1,2788.4,0.433%,4.0,Maluma
2024-04-22,64039666,278,227,1.151%,734306.6,2926.8,0.399%,4.0,Maluma
2024-04-21,64042794,278,224,1.143%,728830.1,2913.4,0.400%,4.0,Maluma
2024-04-20,64042797,278,224,1.543%,983648.2,4303.8,0.438%,4.0,Maluma
2024-04-19,64040887,278,224,2.095%,1333619.8,8249.7,0.619%,3.0,Maluma
2024-04-18,64040963,278,224,2.088%,1328947.6,8232.2,0.619%,3.0,Maluma
2024-04-17,64041390,278,216,2.077%,1322065.5,8205.0,0.621%,4.0,Maluma
2024-04-16,64038395,278,216,2.353%,1498742.1,8272.7,0.552%,5.0,Maluma
2024-04-15,64039975,278,216,2.340%,1490320.0,8257.2,0.554%,5.0,Maluma
2024-04-14,64042310,278,216,2.309%,1470316.8,8499.3,0.578%,5.0,Maluma
2024-04-13,64044541,278,216,2.301%,1465361.3,8488.7,0.579%,5.0,Maluma
2024-04-12,64044620,278,216,2.313%,1472621.5,8602.3,0.584%,6.0,Maluma
2024-04-11,64042235,278,213,2.427%,1545391.8,9126.3,0.591%,6.0,Maluma
2024-04-10,64040442,278,213,2.433%,1549150.5,9101.3,0.588%,5.0,Maluma
2024-04-09,64040443,278,213,2.467%,1570687.4,9398.0,0.598%,4.0,Maluma
2024-04-08,64040653,278,209,2.294%,1459930.6,9193.9,0.630%,3.0,Maluma
2024-04-07,64037853,278,209,2.290%,1457248.2,9184.8,0.630%,4.0,Maluma
2024-04-06,64039452,278,209,2.326%,1480336.4,9427.3,0.637%,3.0,Maluma
2024-04-05,64033792,278,209,2.514%,1600002.3,9592.3,0.600%,2.0,Maluma
2024-04-04,64031619,278,209,2.511%,1598197.2,9584.9,0.600%,1.0,Maluma
2024-04-03,64029324,278,209,2.505%,1594667.9,9573.3,0.600%,1.0,Maluma
2024-04-02,64023559,278,208,2.492%,1586134.6,9551.7,0.602%,1.0,Maluma
2024-04-01,64027978,278,208,2.405%,1530250.4,9654.8,0.631%,1.0,Maluma
2024-03-31,64027275,278,208,2.402%,1528140.0,9644.1,0.631%,1.0,Maluma
2024-03-30,64021145,278,208,2.400%,1526893.3,9636.3,0.631%,1.0,Maluma
2024-03-29,64012600,278,208,2.398%,1525252.2,9625.6,0.631%,1.0,Maluma
2024-03-28,64003061,278,208,2.395%,1523205.1,9611.3,0.631%,1.0,Maluma
2024-03-27,63996524,278,207,2.390%,1519939.8,9594.0,0.631%,1.0,Maluma
2024-03-26,63989313,278,207,2.377%,1511226.3,9550.5,0.632%,1.0,Maluma
2024-03-25,63989838,278,207,2.221%,1412918.3,8504.5,0.602%,1.0,Maluma
2024-03-24,63992897,278,207,2.216%,1409714.8,8488.5,0.602%,0.0,Maluma
2024-03-23,63996961,278,207,2.215%,1409263.5,8457.3,0.600%,0.0,Maluma
2024-03-22,64000755,278,207,2.214%,1408747.1,8414.0,0.597%,0.0,Maluma
2024-03-21,64003739,278,207,2.213%,1408133.2,8416.8,0.598%,0.0,Maluma
2024-03-20,64002774,278,207,2.212%,1407443.9,8399.4,0.597%,0.0,Maluma
2024-03-19,63998860,278,207,2.211%,1406478.3,8376.2,0.596%,0.0,Maluma
2024-03-18,63995486,278,207,2.209%,1405631.5,8347.8,0.594%,0.0,Maluma
2024-03-17,63990689,278,207,2.208%,1404327.7,8333.4,0.593%,0.0,Maluma
2024-03-16,63985290,278,207,2.205%,1402511.8,8312.4,0.593%,1.0,Maluma
2024-03-15,63980173,278,207,2.201%,1400101.5,8287.3,0.592%,1.0,Maluma
